PZN;ENR;Bearbeitungsnummer;Referenzierte Erstmeldung;Meldungsart;Beginn;Ende;Datum der letzten Meldung;Art des Grundes;Arzneimittlbezeichnung;Atc Code;Wirkstoffe;Krankenhausrelevant;Zulassungsinhaber;Grund;Anm. zum Grund;Alternativpräparat;Datum der Erstmeldung;Info an Fachkreise;Darreichungsform;klassifikation
19157106;7010801;LE2026002878;LE2026002334;Änderungsmeldung;15.07.2026;30.09.2026;03.08.2026;Sonstige;Plerixafor Viatris 20 mg/ml Injektionslösung;L03AX16;Plerixafor;ja;Viatris Germany GmbH;Erhöhte Nachfrage;Bitte beachten Sie, dass eine Ausnahmegenehmigung nach §§ 10 Abs. 1a und 11 Abs. 1c AMG zum Inverkehrbringen italienischer Ware erteilt wurde. Die italienische Ware kann unter der PZN 20936695 bestellt werden.;N/A;25.06.2026;Nein;Injektionslösung;weder versrel noch verskri
11695896;2186904;LE2026002877;LE2026002491;Änderungsmeldung;30.06.2026;21.08.2026;31.07.2026;Sonstige;Escitalopram-Micro Labs 5 mg Filmtabletten;N06AB10;Escitalopramoxalat;ja;Micro Labs GmbH;Erhöhte Nachfrage;N/A;N/A;07.07.2026;Nein;Filmtablette;versrel
11695904;2186905;LE2026002876;LE2026002493;Änderungsmeldung;03.07.2026;21.08.2026;31.07.2026;Sonstige;Escitalopram-Micro Labs 10 mg Filmtabletten;N06AB10;Escitalopramoxalat;ja;Micro Labs GmbH;Erhöhte Nachfrage;N/A;N/A;07.07.2026;Nein;Filmtablette;versrel
11695910;2186905;LE2026002876;LE2026002493;Änderungsmeldung;03.07.2026;21.08.2026;31.07.2026;Sonstige;Escitalopram-Micro Labs 10 mg Filmtabletten;N06AB10;Escitalopramoxalat;ja;Micro Labs GmbH;Erhöhte Nachfrage;N/A;N/A;07.07.2026;Nein;Filmtablette;versrel
11695927;2186905;LE2026002876;LE2026002493;Änderungsmeldung;03.07.2026;21.08.2026;31.07.2026;Sonstige;Escitalopram-Micro Labs 10 mg Filmtabletten;N06AB10;Escitalopramoxalat;ja;Micro Labs GmbH;Erhöhte Nachfrage;N/A;N/A;07.07.2026;Nein;Filmtablette;versrel
11695979;2186907;LE2026002875;LE2026001486;Änderungsmeldung;06.07.2026;21.08.2026;31.07.2026;Sonstige;Escitalopram-Micro Labs 20 mg Filmtabletten;N06AB10;Escitalopramoxalat;ja;Micro Labs GmbH;Erhöhte Nachfrage;N/A;N/A;20.04.2026;Nein;Filmtablette;versrel
11695991;2186907;LE2026002875;LE2026001486;Änderungsmeldung;06.07.2026;21.08.2026;31.07.2026;Sonstige;Escitalopram-Micro Labs 20 mg Filmtabletten;N06AB10;Escitalopramoxalat;ja;Micro Labs GmbH;Erhöhte Nachfrage;N/A;N/A;20.04.2026;Nein;Filmtablette;versrel
10517187;2183414;LE2026002874;LE2026001178;Änderungsmeldung;19.03.2026;21.08.2026;31.07.2026;Sonstige;Gabapentin-Micro Labs 800 mg Filmtabletten;N02BF01;Gabapentin;ja;Micro Labs GmbH;Erhöhte Nachfrage;N/A;N/A;25.03.2026;Nein;Filmtablette;versrel
10517193;2183414;LE2026002874;LE2026001178;Änderungsmeldung;19.03.2026;21.08.2026;31.07.2026;Sonstige;Gabapentin-Micro Labs 800 mg Filmtabletten;N02BF01;Gabapentin;ja;Micro Labs GmbH;Erhöhte Nachfrage;N/A;N/A;25.03.2026;Nein;Filmtablette;versrel
16369457;2198340;LE2026002872;LE2026002814;Änderungsmeldung;28.07.2026;31.12.2026;31.07.2026;Produktionsproblem;Entecavir Amarox 0,5 mg Filmtabletten;J05AF10;Entecavir;ja;AMAROX PHARMA GmbH;GMP Mängel;CEP suspendiert;N/A;28.07.2026;Vorgesehen;Filmtablette;versrel
